"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5111","TC_05_Window_Sticker_Revisit_Banner_Validation","MotorcycleVINLookup_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","3910","TC_21_Window_Sticker_Default_Plan","VSR_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","43579","TC_13_Classic_VIN_YMM_Edit_Validation","MotorcycleVINLookup_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","22080","TC_08_Home_To_Checkout_Price_Coupon_And_Email_Cache_Validation","MotorcycleVINLookup","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","56172","TC_08_Home_To_Checkout_Price_Coupon_And_Email_Cache_Validation","VINNumberCA","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","4527","TC_01_VIN_Decode_17_Character_Validation","MotorcycleVINLookup","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","47113","TC_20_Default_Plan_Checking","VINNumberCA_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","7128","TC_04_VHR_Revisit_Banner_Validation","VSR","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","11491","TC_07_Exit_Intent_Popup_Trigger_Validation","MotorcycleVINLookup","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","49725","TC_23_Sticker_Upsell_Text_Validation","VINNumberCA_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","158","TC_07_Exit_Intent_Popup_Trigger_Validation","MotorcycleVINLookup_MobileChrome","2026-09-26","skipped","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","8656","TC_01 VIN decode verify","VehicleHistoryEU_MobileChrome","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","9371","TC_16 Default plan price check verification","VehicleHistoryEU_MobileChrome","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","3342","TC_20_Default_Plan_Checking","VSR_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","1878","TC_03 VIN field validation","VehicleHistoryEU","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","21268","TC_14 EU VIN confirmation flow","VehicleHistoryEU_MobileChrome","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","5132","TC_06_Preview_Page_Plan_Selection_Validation","MotorcycleVINLookup","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","7776","TC_05_Window_Sticker_Revisit_Banner_Validation","VSR_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","7195","TC_05 Low to High Coupon swap validation","VehicleHistoryEU","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","6407","TC_24_Coupon_Banner_Hierarchy_And_Persistence_Validation","InstantVinReports","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","3313","TC_02_VIN_Decode_Classic_Validation","VSR","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","6010","TC_22_VHR_Upsell_Text_Validation","VSR","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","50335","TC_05_Window_Sticker_Revisit_Banner_Validation","VINNumberCA_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","22236","TC_08_Home_To_Checkout_Price_Coupon_And_Email_Cache_Validation","VSR","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","5191","TC_22_VHR_Upsell_Text_Validation","MotorcycleVINLookup_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","5202","TC_06 Coupon banner on other pages","VehicleHistoryEU","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","5383","TC_23_Sticker_Upsell_Text_Validation","MotorcycleVINLookup","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","3559","TC_02_VIN_Decode_Classic_Validation","InstantVinReports","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","3867","TC_02_VIN_Decode_Classic_Validation","MotorcycleVINLookup","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","33706","TC_14_Classic_Manual_Input_Validation","MotorcycleVINLookup","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","4428","TC_21_Window_Sticker_Default_Plan","VSR","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","120","TC_08_Home_To_Checkout_Price_Coupon_And_Email_Cache_Validation","VSR_MobileChrome","2026-09-26","skipped","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","153","TC_17 Classic editable specs update only from preview validation","VehicleHistoryEU","2026-09-26","skipped","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","4847","TC_24_Coupon_Banner_Hierarchy_And_Persistence_Validation","MotorcycleVINLookup","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","24157","TC_07 License Plate search validation","VehicleHistoryEU_MobileChrome","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","59937","TC_15_Classic_Editible_Specs_Update","InstantVinReports","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","54504","TC_15_Classic_Editible_Specs_Update","VSR_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","44874","TC_14_Classic_Manual_Input_Validation","VSR","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","5337","TC_22_VHR_Upsell_Text_Validation","VSR_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","4802","TC_24_Coupon_Banner_Hierarchy_And_Persistence_Validation","MotorcycleVINLookup_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","2418","TC_04 Coupon flow validation","VehicleHistoryEU_MobileChrome","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","10898","TC_09 Revisit sticker banner flow","VehicleHistoryEU_MobileChrome","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","1959","TC_02 Verify error message on invalid search","VehicleHistoryEU","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","43172","TC_13_Classic_VIN_YMM_Edit_Validation","VSR","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","2862","TC_20_Default_Plan_Checking","InstantVinReports","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","9466","TC_13 Global Exit Intent Preview Verification","VehicleHistoryEU","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","47148","TC_21_Window_Sticker_Default_Plan","VINNumberCA_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","1539","TC_03 VIN field validation","VehicleHistoryEU_MobileChrome","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","126","TC_07_Exit_Intent_Popup_Trigger_Validation","VSR_MobileChrome","2026-09-26","skipped","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","4326","TC_21_Window_Sticker_Default_Plan","InstantVinReports_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","50193","TC_05_Window_Sticker_Revisit_Banner_Validation","VINNumberCA","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","36095","TC_13_Classic_VIN_YMM_Edit_Validation","InstantVinReports_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
